timestamp,_x,gyro_y,gyro_z
2026-07-20T18:21:35.605940,2.183206,-1.2366412,0.96183205
2026-07-20T18:21:35.607802,-0.088134766,0.0029296875,1.0124512,2.167939,-1.6793894,0.99236643
2026-07-20T18:21:35.609815,-0.09375,0.0021972656,1.0200195,2.091603,-1.3587786,0.99236643
2026-07-20T18:21:35.613408,-0.09399414,0.0029296875,1.0114746,2.1374047,-1.3435115,1.0534351
2026-07-20T18:21:35.615836,-0.08935547,0.0043945313,1.0131836,2.1984732,-1.5267175,0.90076333
2026-07-20T18:21:35.617709,-0.09057617,0.0036621094,1.0178223,2.1374047,-1.4351145,1.0687023
2026-07-20T18:21:35.618881,-0.08984375,0.0036621094,1.0126953,2.1221373,-1.3435115,0.9312977
2026-07-20T18:21:35.620835,-0.092285156,0.009277344,1.0144043,2.0610688,-1.3740458,0.90076333
2026-07-20T18:21:35.622781,-0.0949707,0.0021972656,1.0183105,2.1526718,-1.3740458,0.9465649
2026-07-20T18:21:35.627811,-0.09643555,0.0063476563,1.0151367,2.076336,-0.0871582,-1.4351145,0.9465649
2026-07-20T18:21:35.629089,-0.09375,0.005859375,1.0168457,2.167939,-1.4045801,0.9312977
2026-07-20T18:21:35.638903,-0.09399414,0.0078125,1.017334,2.167939,-1.4045801,0.9160305
2026-07-20T18:21:35.650908,-0.09838867,0.0078125,1.0153809,2.1526718,-1.4351145,1.038168
2026-07-20T18:21:35.663740,-0.09838867,0.0078125,1.0102539,2.183206,-1.480916,0.8854962
2026-07-20T18:21:35.674941,-0.092285156,0.005859375,1.0153809,2.183206,-1.3587786,0.8854962
2026-07-20T18:21:35.687380,-0.09448242,0.0063476563,1.0131836,2.2290077,-1.5267175,0.9312977
2026-07-20T18:21:35.699372,-0.09277344,0.009521484,1.0124512,2.1374047,-1.3435115,0.9160305
2026-07-20T18:21:35.711375,-0.091796875,0.0061035156,1.0163574,2.0610688,-1.4503816,0.9465649
2026-07-20T18:21:35.723377,-0.095458984,0.0078125,1.0163574,2.1068702,-1.4656489,0.9312977
2026-07-20T18:21:35.735404,-0.09472656,0.004638672,1.0183105,2.2748091,-1.5572519,0.9312977
2026-07-20T18:21:35.747919,-0.09106445,0.0053710938,1.0136719,2.1526718,-1.3587786,0.8396947
2026-07-20T18:21:35.759920,-0.092285156,0.0075683594,1.0192871,2.167939,-1.4198474,0.8854962
2026-07-20T18:21:35.771941,-0.092041016,0.0053710938,1.0134277,2.259542,-1.4656489,1.0076336
